PROVIDER NAME,TOTAL_COST,UNIQUE_VISITS,UNIQUE_MEMBERS,TOTAL_CLAIMS,AVG_COST_PER_VISIT,RISK_SCORE
OPTICA MACHAKOS,5362.5,1,1,1,5362.5,0.23273305084745763
OPTICAL LIMITED - GREENWOOD,40455.0,4,4,4,10113.75,0.5156779661016949
ORBIT HEALTHCARE SERVICES KENYA LIMITED - NAIROBI WAIYAKI WAY,3087973.25,109,32,228,28330.02981651376,0.9332627118644068
OUR LADY OF LOUDRES MWEA HOSPITAL,1032504.0,124,50,141,8326.645161290322,0.7595338983050848
OUR LADY OF LOURDES MWEA HOSPITAL SATELITE CLINIC- EMBU,163538.0,48,27,48,3407.0416666666665,0.5191737288135593
OUTSPAN HOSPITAL - EMBU,436026.9,103,51,105,4233.270873786408,0.6086864406779662
OUTSPAN HOSPITAL NYERI,3772275.75,189,81,194,19959.130952380954,0.9277542372881357
PANDYA HOSPITAL,7367232.5,261,109,450,28226.944444444445,0.9584745762711865
PCEA MISSION TUMU TUMU HOSPITAL,364891.0,38,18,39,9602.394736842105,0.723093220338983
POPE BENEDICT XVI HOSPITAL NYAHURURU,1226059.5,135,59,140,9081.922222222222,0.7841101694915253
PREMIER HOSPITAL- NYALI,2009830.3149,93,31,102,21611.07865483871,0.8995762711864407
RAMATA NURSING HOME LTD,105455.0,4,3,4,26363.75,0.6114406779661017
RAPHA AND MATERNITY NURSING HOME,104267.5,5,2,5,20853.5,0.5976694915254238
REALE HOSPITAL - KAPSABET,92666.4,23,13,26,4028.973913043478,0.48845338983050846
REALE HOSPITAL -ELDORET,4157895.5,65,32,71,63967.623076923075,0.9197033898305084
REALE HOSPITAL CLINIC - KITALE,109026.0,23,18,25,4740.260869565217,0.5402542372881356
REALE HOSPITAL UTAWALA,12283.0,5,5,5,2456.6,0.22542372881355932
REALE MEDICAL CENTRE-KABARNET,33641.0,9,8,9,3737.8888888888887,0.3754237288135593
RELIANCE HOSPITAL- SOUTH C,1135912.0,43,21,44,26416.558139534885,0.8614406779661017
REYSANE MEDICAL CENTER - WAJIR,72795.0,17,14,17,4282.058823529412,0.48368644067796607
ROYAL MEDICAL CLINIC-KISII,150903.75,19,8,19,7942.3026315789475,0.5901483050847458
ROYALSTAR FAMILY HOSPITAL - WOTE,234620.0,25,13,25,9384.8,0.6807203389830508
RUAI FAMILY HEALTH -TALA,16859.25,4,3,4,4214.8125,0.30000000000000004
RUAI FAMILY HEALTH-EMBAKASI,5118.0,1,1,1,5118.0,0.21790254237288137
RUAI FAMILY HEALTHCARE - KOMAROCK,15490.5,3,3,3,5163.5,0.31853813559322036
RUAI FAMILY HOSPITAL,15576.0,3,2,3,5192.0,0.3028601694915254
RUAI FAMILY HOSPITAL - SYOKIMAU,4964.5,2,1,2,2482.25,0.10074152542372881
RUAI FAMILY HOSPITAL-SPECIALIST ANNEX,51840.75,10,7,10,5184.075,0.44205508474576266
SABATIA EYE HOSPITAL,449444.0,31,14,33,14498.193548387097,0.7925847457627119
SABATIA EYE HOSPITAL- ELDORET CLINIC,180800.0,22,11,24,8218.181818181818,0.6338983050847458
SABATIA EYE HOSPITAL- KISUMU CLINIC,61900.0,7,4,8,8842.857142857143,0.5238347457627118
SAMBURU DOCTORS PLAZA,33704.0,10,6,10,3370.4,0.3496822033898305
SAMJOMEN HOSPITAL LIMITED,108270.0,17,11,17,6368.823529411765,0.5544491525423729
SAVANNAH ROYAL HOSPITAL,185707.5,30,18,30,6190.25,0.6041313559322034
SHAMAAL HOSPITAL - MANDERA,20900.0,4,2,4,5225.0,0.32563559322033897
SIHA MEDICAL HOME MPEKETONI,56365.0,14,8,15,4026.0714285714284,0.4228813559322034
SILOAM HOSPITAL,455021.8385,44,18,47,10341.405420454546,0.753707627118644
SILOAM HOSPITAL - BOMET,32874.32,10,8,10,3287.432,0.35476694915254237
SILOAM HOSPITAL LTD - LITEIN,2989.42,1,1,1,2989.42,0.11197033898305085
ST DAMIANO MEDICAL CENTER,1700874.0,215,90,217,7911.041860465116,0.7639830508474577
ST JOSEPH SHELTER OF HOPE OUTREACH CLINIC,55990.0,11,9,11,5090.0,0.4594279661016949
ST MARYS HOSPITAL MUMIAS,56360.22,20,9,21,2818.011,0.3843220338983051
ST. CAMILLUS MISSION HOSPITAL - SORI,396700.0,11,7,11,36063.63636363636,0.7376059322033899
ST. ELIZABETH MUKUMU,120455.0,26,19,27,4632.884615384615,0.5421610169491525
ST. FRANCIS COMMUNITY HOSPITAL,5634083.0,377,151,432,14944.51724137931,0.9205508474576272
ST. JOSEPH CENTRE OF HOPE VOI,1244108.0,61,32,63,20395.213114754097,0.8816737288135593
ST. JOSEPH MISSION DISPENSARY,163820.0,24,15,24,6825.833333333333,0.6103813559322034
ST. JOSEPHS MISSION HOSPITAL,915791.0,96,43,98,9539.489583333334,0.7805084745762711
ST. LUKES ORTHOPEDIC AND TRAUMA HOSPITAL,14563644.36,407,163,426,35782.909975429975,0.9684322033898305
ST. MARY  S MISSION HOSPITAL - ELEMENTAITA,1133717.93,117,52,125,9689.896837606837,0.7979872881355932
ST. MARY MEDICAL CENTER,352895.0,40,25,40,8822.375,0.7161016949152542
ST. MARY S MISSION HOSPITAL- LANGATA,943187.0,87,44,99,10841.229885057472,0.8190677966101695
ST. MARYS MISSION HOSPITAL - NAKURU,34640.0,10,9,10,3464.0,0.37680084745762715
ST. MATIA MULUMBA MISSION HOSPITAL - THIKA,3257555.0,255,126,324,12774.725490196079,0.8853813559322034
ST. MONICA HOSPITAL,13466.0,4,4,4,3366.5,0.2667372881355932
ST. THERESAS MISSION HOSPITAL KIIRUA,1561867.0,110,57,132,14198.790909090909,0.8823093220338983
STARKEY HEARING TECHNOLOGIES LTD,747255.0,8,8,9,93406.875,0.7461864406779661
SYNERGY CLINICS LIMITED,2740052.25,87,41,91,31494.853448275862,0.9192796610169491
TANAKA NURSING HOME,120187.5,19,9,19,6325.6578947368425,0.5486228813559322
TAWFIQ HOSPITAL,454650.0,31,12,31,14666.129032258064,0.7844279661016949
TENWEK HOSPITAL ANNEX,181180.0,28,18,30,6470.714285714285,0.6210805084745763
TENWEK MISSION HOSPITAL BOMET,1485159.0,150,80,164,9901.06,0.8186440677966101
TEXAS CANCER CENTRE,2625.0,1,1,1,2625.0,0.0780720338983051
THE HOPKINS CRESCENT HOSPITALS LIMITED,187570.5,22,13,23,8525.931818181818,0.6508474576271187
THE KAREN HOSPITAL,13177328.5,256,84,284,51473.939453125,0.9654661016949153
THE NAIROBI HOSPITAL,17359115.13,330,106,401,52603.37918181818,0.9722457627118644
THE NAIROBI HOSPITAL OUTPATIENT CENTER  SOUTHFIELDS,97884.63,15,10,17,6525.642000000001,0.5584745762711865
